subject-id,DSC,ASD,HD95,NSD,model,anatomy
s0040_hip_msk,0.89,0.58,2.24,0.62,MultiScale2DPermuteConcat,hip
s0447_rib_msk,0.39,1.29,5.39,0.42,TLPredictor,rib
sub-verse138_vert-19-seg-vert_msk,0.88,0.57,2.24,0.87,TwoDPermuteConcat,vertebra
s0447_rib_msk,0.27,1.62,14.31,0.32,OneDConcat,rib
sub-verse138_vert-19-seg-vert_msk,0.84,0.77,2.45,0.8,OneDConcat,vertebra
s0592_femur_right_msk,0.93,0.96,3.0,0.83,TLPredictor,femur
s0040_hip_msk,0.88,0.62,2.45,0.59,UNETR,hip
s0040_hip_msk,0.89,0.6,2.0,0.6,TwoDPermuteConcat,hip
s0592_femur_right_msk,0.94,0.8,2.45,0.87,MultiScale2DPermuteConcat,femur
sub-verse138_vert-19-seg-vert_msk,0.86,0.68,2.24,0.85,UNETR,vertebra
s0447_rib_msk,0.51,0.87,2.45,0.54,UNet,rib
s0592_femur_right_msk,0.95,0.72,2.24,0.91,AttentionUnet,femur
s0040_hip_msk,0.87,0.71,2.83,0.54,UNet,hip
s0447_rib_msk,0.39,1.17,3.74,0.45,UNETR,rib
sub-verse138_vert-19-seg-vert_msk,0.89,0.63,1.73,0.92,MultiScale2DPermuteConcat,vertebra
s0592_femur_right_msk,0.95,0.7,2.24,0.89,UNETR,femur
sub-verse138_vert-19-seg-vert_msk,0.9,0.53,1.73,0.92,SwinUNETR,vertebra
s0040_hip_msk,0.84,0.8,2.83,0.49,OneDConcat,hip
s0447_rib_msk,0.44,1.09,4.9,0.48,MultiScale2DPermuteConcat,rib
sub-verse138_vert-19-seg-vert_msk,0.88,0.63,2.0,0.89,AttentionUnet,vertebra
s0592_femur_right_msk,0.94,0.72,2.45,0.87,SwinUNETR,femur
s0447_rib_msk,0.54,0.72,3.61,0.56,SwinUNETR,rib
s0040_hip_msk,0.9,0.57,1.73,0.66,SwinUNETR,hip
s0040_hip_msk,0.83,0.94,3.0,0.43,TLPredictor,hip
sub-verse138_vert-19-seg-vert_msk,0.85,0.8,2.24,0.82,TLPredictor,vertebra
s0447_rib_msk,0.4,1.18,3.16,0.47,TwoDPermuteConcat,rib
s0592_femur_right_msk,0.91,1.2,3.22,0.75,OneDConcat,femur
s0447_rib_msk,0.55,0.66,2.45,0.59,AttentionUnet,rib
s0040_hip_msk,0.88,0.59,2.0,0.61,AttentionUnet,hip
sub-verse138_vert-19-seg-vert_msk,0.89,0.7,2.0,0.9,UNet,vertebra
s0592_femur_right_msk,0.95,0.6,2.0,0.94,TwoDPermuteConcat,femur
s0582_rib_msk,0.24,1.78,19.42,0.27,OneDConcat,rib
sub-verse138_vert-20-seg-vert_msk,0.88,0.59,2.0,0.88,TwoDPermuteConcat,vertebra
s0473_hip_msk,0.8,1.1,3.16,0.36,OneDConcat,hip
s0375_femur_left_msk,0.93,1.13,2.83,0.79,OneDConcat,femur
s0473_hip_msk,0.85,0.82,2.83,0.5,MultiScale2DPermuteConcat,hip
sub-verse138_vert-20-seg-vert_msk,0.86,0.68,2.24,0.84,TLPredictor,vertebra
s0582_rib_msk,0.37,1.25,7.35,0.37,UNETR,rib
s0375_femur_left_msk,0.95,0.76,2.24,0.9,SwinUNETR,femur
s0375_femur_left_msk,0.95,0.76,2.24,0.91,TwoDPermuteConcat,femur
sub-verse138_vert-20-seg-vert_msk,0.87,0.65,1.73,0.9,UNETR,vertebra
s0473_hip_msk,0.82,1.13,3.0,0.49,SwinUNETR,hip
s0582_rib_msk,0.52,0.72,6.16,0.49,AttentionUnet,rib
s0473_hip_msk,0.82,0.93,3.0,0.49,AttentionUnet,hip
s0375_femur_left_msk,0.95,0.7,2.24,0.93,AttentionUnet,femur
sub-verse138_vert-20-seg-vert_msk,0.87,0.69,2.0,0.88,MultiScale2DPermuteConcat,vertebra
s0582_rib_msk,0.26,1.85,7.87,0.28,TLPredictor,rib
s0582_rib_msk,0.5,0.93,8.49,0.46,TwoDPermuteConcat,rib
s0375_femur_left_msk,0.94,0.83,2.45,0.88,UNETR,femur
s0473_hip_msk,0.79,1.1,3.61,0.42,UNETR,hip
sub-verse138_vert-20-seg-vert_msk,0.88,0.65,2.24,0.9,SwinUNETR,vertebra
sub-verse138_vert-20-seg-vert_msk,0.83,0.76,4.12,0.73,OneDConcat,vertebra
s0473_hip_msk,0.8,1.19,3.61,0.41,UNet,hip
s0375_femur_left_msk,0.95,0.78,2.24,0.89,MultiScale2DPermuteConcat,femur
s0582_rib_msk,0.45,1.0,12.88,0.42,MultiScale2DPermuteConcat,rib
s0375_femur_left_msk,0.94,0.9,2.83,0.86,TLPredictor,femur
s0582_rib_msk,0.49,0.84,9.43,0.43,SwinUNETR,rib
s0473_hip_msk,0.83,1.0,2.83,0.46,TwoDPermuteConcat,hip
sub-verse138_vert-20-seg-vert_msk,0.88,0.59,1.73,0.9,AttentionUnet,vertebra
s0375_femur_left_msk,0.95,0.68,2.0,0.94,UNet,femur
s0473_hip_msk,0.82,1.04,3.32,0.4,TLPredictor,hip
s0582_rib_msk,0.45,1.09,9.95,0.43,UNet,rib
sub-verse138_vert-20-seg-vert_msk,0.89,0.53,2.0,0.89,UNet,vertebra
s0375_femur_right_msk,0.95,0.76,2.45,0.9,AttentionUnet,femur
s0607_hip_msk,0.89,0.63,2.24,0.58,TwoDPermuteConcat,hip
s0392_rib_msk,0.59,0.8,3.0,0.56,TwoDPermuteConcat,rib
sub-verse138_vert-21-seg-vert_msk,0.89,0.57,2.0,0.9,SwinUNETR,vertebra
s0392_rib_msk,0.39,1.29,5.39,0.37,TLPredictor,rib
s0607_hip_msk,0.88,0.68,2.45,0.57,MultiScale2DPermuteConcat,hip
s0375_femur_right_msk,0.95,0.78,2.45,0.9,TwoDPermuteConcat,femur
sub-verse138_vert-21-seg-vert_msk,0.88,0.64,2.0,0.9,MultiScale2DPermuteConcat,vertebra
s0392_rib_msk,0.56,0.87,3.61,0.53,MultiScale2DPermuteConcat,rib
s0375_femur_right_msk,0.94,0.9,3.0,0.87,UNETR,femur
sub-verse138_vert-21-seg-vert_msk,0.89,0.59,2.0,0.9,UNet,vertebra
s0607_hip_msk,0.83,0.94,3.16,0.42,TLPredictor,hip
s0392_rib_msk,0.4,1.38,5.74,0.37,UNETR,rib
s0607_hip_msk,0.89,0.69,2.45,0.56,UNet,hip
s0375_femur_right_msk,0.95,0.74,2.24,0.89,SwinUNETR,femur
sub-verse138_vert-21-seg-vert_msk,0.85,0.73,2.45,0.8,OneDConcat,vertebra
s0607_hip_msk,0.9,0.65,2.0,0.62,SwinUNETR,hip
s0392_rib_msk,0.37,1.38,17.35,0.31,OneDConcat,rib
s0375_femur_right_msk,0.95,0.78,2.24,0.89,MultiScale2DPermuteConcat,femur
sub-verse138_vert-21-seg-vert_msk,0.89,0.57,2.0,0.9,UNETR,vertebra
sub-verse138_vert-21-seg-vert_msk,0.88,0.69,2.0,0.9,TLPredictor,vertebra
s0607_hip_msk,0.89,0.62,2.0,0.6,AttentionUnet,hip
s0392_rib_msk,0.6,0.72,2.45,0.57,AttentionUnet,rib
s0375_femur_right_msk,0.91,1.31,3.32,0.72,OneDConcat,femur
sub-verse138_vert-21-seg-vert_msk,0.9,0.49,1.41,0.93,AttentionUnet,vertebra
s0375_femur_right_msk,0.93,1.0,3.0,0.83,TLPredictor,femur
s0607_hip_msk,0.83,0.96,3.46,0.4,OneDConcat,hip
s0392_rib_msk,0.49,1.06,3.0,0.46,UNet,rib
s0375_femur_right_msk,0.95,0.72,2.24,0.93,UNet,femur
